# Time Signal
0.000000 0.136075
0.000125 0.664860
0.000250 1.113240
0.000375 0.826483
0.000500 0.164659
0.000625 -0.828086
0.000750 -1.065911
0.000875 -0.599815
0.001000 -0.088890
0.001125 0.728695
0.001250 0.990959
0.001375 0.758655
0.001500 -0.054086
0.001625 -0.701747
0.001750 -0.819108
0.001875 -0.540629
0.002000 0.054285
0.002125 0.794026
0.002250 0.856641
0.002375 0.749895
0.002500 -0.193479
0.002625 -0.809952
0.002750 -1.145107
0.002875 -0.585436
0.003000 -0.137328
0.003125 0.667485
0.003250 0.851916
0.003375 0.550630
0.003500 0.199569
0.003625 -0.819804
0.003750 -0.994827
0.003875 -0.571462
0.004000 0.045057
0.004125 0.625519
0.004250 1.055021
0.004375 0.716822
0.004500 -0.002566
0.004625 -0.517997
0.004750 -1.082993
0.004875 -0.598563
0.005000 0.010697
0.005125 0.815073
0.005250 0.960091
0.005375 0.863718
0.005500 -0.086674
0.005625 -0.766124
0.005750 -0.876910
0.005875 -0.539497
0.006000 -0.172098
0.006125 0.886837
0.006250 1.010398
0.006375 0.541530
0.006500 -0.123115
0.006625 -0.641816
0.006750 -0.843907
0.006875 -0.767550
0.007000 -0.174330
0.007125 0.515116
0.007250 0.983081
0.007375 0.532345
0.007500 -0.104687
0.007625 -0.518854
0.007750 -0.839117
0.007875 -0.566738
0.008000 -0.093331
0.008125 0.723010
0.008250 0.950083
0.008375 0.811205
0.008500 0.005011
0.008625 -0.640016
0.008750 -0.987357
0.008875 -0.891393
0.009000 -0.024947
0.009125 0.879840
0.009250 1.172324
0.009375 0.795486
0.009500 -0.086281
0.009625 -0.611693
0.009750 -0.944008
0.009875 -0.765485
0.010000 0.075143
0.010125 0.573497
0.010250 0.976042
0.010375 0.859139
0.010500 0.131681
0.010625 -0.774972
0.010750 -1.108413
0.010875 -0.549759
0.011000 -0.059856
0.011125 0.781776
0.011250 1.182587
0.011375 0.742564
0.011500 0.062921
0.011625 -0.563637
0.011750 -1.024176
0.011875 -0.537520
0.012000 -0.040625
0.012125 0.833015
0.012250 1.073687
0.012375 0.871496
0.012500 -0.007005
0.012625 -0.820779
0.012750 -0.819899
0.012875 -0.539055
0.013000 -0.140934
0.013125 0.859530
0.013250 1.056432
0.013375 0.679888
0.013500 0.047836
0.013625 -0.794682
0.013750 -0.885599
0.013875 -0.784123
0.014000 -0.021184
0.014125 0.597548
0.014250 0.875013
0.014375 0.617599
0.014500 0.022580
0.014625 -0.740506
0.014750 -1.132157
0.014875 -0.544384
0.015000 -0.158734
0.015125 0.557537
0.015250 0.998178
0.015375 0.811295
0.015500 0.193902
0.015625 -0.533105
0.015750 -0.926222
0.015875 -0.753829
0.016000 0.099913
0.016125 0.654568
0.016250 0.917664
0.016375 0.600013
0.016500 0.033796
0.016625 -0.809342
0.016750 -1.139044
0.016875 -0.614244
0.017000 -0.149804
0.017125 0.824492
0.017250 0.865641
0.017375 0.805136
0.017500 -0.170189
0.017625 -0.527067
0.017750 -1.178988
0.017875 -0.698478
0.018000 -0.129521
0.018125 0.603129
0.018250 1.119119
0.018375 0.800169
0.018500 0.062624
0.018625 -0.520147
0.018750 -0.944217
0.018875 -0.603217
0.019000 -0.162612
0.019125 0.561066
0.019250 1.008084
0.019375 0.538399
0.019500 -0.172040
0.019625 -0.825248
0.019750 -1.015432
0.019875 -0.579239
0.020000 0.029325
0.020125 0.809338
0.020250 0.820776
0.020375 0.570228
0.020500 0.199994
0.020625 -0.825379
0.020750 -0.844018
0.020875 -0.856922
0.021000 0.199118
0.021125 0.528730
0.021250 1.148216
0.021375 0.536036
0.021500 -0.198340
0.021625 -0.537875
0.021750 -0.962443
0.021875 -0.834960
0.022000 -0.134748
0.022125 0.663783
0.022250 1.165211
0.022375 0.834982
0.022500 -0.056367
0.022625 -0.686110
0.022750 -0.968228
0.022875 -0.726077
0.023000 0.074955
0.023125 0.546964
0.023250 1.012323
0.023375 0.810021
0.023500 -0.078277
0.023625 -0.510213
